region,year,total,white,black,black_free,black_slaves,black_slaves_norm,black_free_norm
USA Total,1870,38558371,33589377,4880009,4880009,0,0,1
USA Total,1860,31443321,26922537,4441830,488070,3953760,0.890119613,0.109880387
USA Total,1850,23191876,19553068,3638808,434495,3204313,0.88059414,0.11940586
USA Total,1840,17063353,14189705,2873648,386293,2487355,0.865574002,0.134425998
USA Total,1830,12860702,10532060,2328642,619599,1709043,0.733922604,0.266077396
USA Total,1820,9638453,7866797,1771656,233634,1538022,0.86812677,0.13187323
USA Total,1810,7239881,5862073,1377808,186446,1191362,0.864679259,0.135320741
USA Total,1800,5308483,4306446,1002037,108435,893602,0.891785433,0.108214567
USA Total,1790,3929214,3172006,757208,59527,697681,0.921386198,0.078613802
Northeast,1870,12298730,12117269,179738,179738,0,0,1
Northeast,1860,10594268,10438028,156001,155983,18,0.000115384,0.999884616
Northeast,1850,8626851,8477089,149762,149526,236,0.001575834,0.998424166
Northeast,1840,6761082,6618758,142324,141559,765,0.00537506,0.99462494
Northeast,1830,5542381,5417167,125214,122434,2780,0.02220199,0.97779801
Northeast,1820,4359916,4249192,110724,92723,18001,0.162575413,0.837424587
Northeast,1810,3486675,3384438,102237,75156,27081,0.264884533,0.735115467
Northeast,1800,2635576,2552510,83066,46696,36370,0.437844605,0.562155395
Northeast,1790,1968040,1900616,67424,27070,40354,0.598510916,0.401489084
Midwest,1870,12981111,12698503,273080,273080,0,0,1
Midwest,1860,9096716,8899969,184239,69291,114948,0.62390699,0.37609301
Midwest,1850,5403595,5267988,135607,48185,87422,0.644671735,0.355328265
Midwest,1840,3351542,3262195,89347,30743,58604,0.65591458,0.34408542
Midwest,1830,1610473,1568930,41543,15664,25879,0.6229449,0.3770551
Midwest,1820,859305,841045,18260,6931,11329,0.620427163,0.379572837
Midwest,1810,292107,285173,6934,3630,3304,0.476492645,0.523507355
Midwest,1800,51006,50371,635,500,135,0.212598425,0.787401575
Midwest,1790,0,0,0,0,0,0,0
South,1870,12288020,7863209,4420811,4420811,0,0,1
South,1860,11133361,7033973,4097111,258346,3838765,0.936944349,0.063055651
South,1850,8982612,5630414,3352198,235569,3116629,0.929727003,0.070272997
South,1840,6950729,4308752,2641977,213991,2427986,0.919003458,0.080996542
South,1830,5707848,3545963,2161885,181501,1980384,0.916045026,0.083954974
South,1820,4419232,2776560,1642672,133980,1508692,0.918437765,0.081562235
South,1810,3461099,2192462,1268637,107660,1160977,0.915137269,0.084862731
South,1800,2621901,1703565,918336,61239,857097,0.933315257,0.066684743
South,1790,1961174,1271390,689784,32457,657327,0.95294614,0.04705386
West,1870,990510,910396,6380,6380,0,0,1
West,1860,618976,550567,4479,4450,29,0.00647466,0.99352534
West,1850,178818,177577,1241,1215,26,0.020950846,0.979049154
West,1840,0,0,0,0,0,0,0
West,1830,0,0,0,0,0,0,0
West,1820,0,0,0,0,0,0,0
West,1810,0,0,0,0,0,0,0
West,1800,0,0,0,0,0,0,0
West,1790,0,0,0,0,0,0,0